"ID","Name","Long","Lat","X1960","X1970","X1980","X1991","X1996","X2001"
"10411","VREDENBURG_WEST COAST PENINSULA",17.99385,-32.90906,0.1,11030,27596,39515,46702,58412
"10509","MALMESBURY",18.72242,-33.4619,8267,9314,12808,15859,24254,28992
"10602","CERES",19.29787,-33.40962,6195,9230,12182,16691,23193,28047
"10706","PAARL",18.97508,-33.72503,41540,49244,69633,88987,105778,105306
"10710","WELLINGTON",18.99634,-33.65426,11658,17092,20885,26594,35371,39208
"10814","STELLENBOSCH",18.86675,-33.94512,22333,31955,42180,52183,53583,62616
"10908","WORCESTER",19.44759,-33.65584,32274,41198,52485,63077,77800,84489
"11007","ROBERTSON",19.89101,-33.79979,8195,10237,12186,13587,17574,21597
"11107","GRABOUW",19.00878,-34.15388,0.1,0.1,5229,11107,16001,21586
"11209","HERMANUS",19.25551,-34.41273,0.1,0.1,5585,7784,18943,24093
"11715","MOSSEL BAY",22.1093,-34.18269,12225,17574,18570,39799,45436,51559
"11802","GEORGE",22.46642,-33.97097,16778,28525,43074,73086,102391,122391
"11906","OUDTSHOORN",22.20657,-33.58974,22229,26907,35947,46165,53608,55143
"12105","KNYSNA",23.05324,-34.04421,11045,13479,16225,21668,30842,38886
"12404","BEAUFORT WEST",22.45621,-32.37014,16467,17862,20997,25413,28638,30673
"17107","CAPE TOWN",18.65308,-33.77866,807211,1104339,1431081,1953149,2436400,2728350
"17144","SOMERSET WEST",18.82126,-34.07194,9647,13575,38047,50081,71462,68329
"17145","STRAND",18.86985,-34.13223,13389,24503,26716,34611,50750,80589
"20103","GRAAFF REINET",24.55463,-32.26123,16936,22392,23426,28373,34241,33473
"20403","GRAHAMSTOWN",26.51412,-33.30055,32611,41302,51195,58485,62134,61916
"20804","HUMANSDORP",24.7511,-34.00151,6179,8102,9387,15600,21606,21894
"21105","BUTTERWORTH",28.19012,-32.31684,0.1,0.1,27343,36271,38270,45901
"21327","STUTTERHEIM",27.37713,-32.60505,9025,12077,11470,19747,20118,28265
