"ID","Name","Long","Lat","X1960","X1970","X1980","X1990","X2000","X2010"
"100988","Albertville",-86.211261,34.265362,0.1,0.1,65622,70832,82231,93019
"101852","Anniston",-85.826664,33.663003,33657,31533,119761,116034,112249,118572
"103076","Auburn",-85.480823,32.597684,31939,41794,50367,56724,115092,140247
"107000","Birmingham",-86.81274,33.524755,634864,739274,847487,907810,1052238,1128047
"118976","Cullman",-86.844996,34.177508,45572,52445,61642,67613,77483,80406
"119648","Daphne",-87.88644,30.631289,0.1,0.1,0.1,98280,140415,182265
"120104","Decatur",-86.983392,34.580992,29217,38044,42002,131556,145867,153829
"121184","Dothan",-85.407258,31.227225,31440,36733,48750,81331,130861,145639
"126896","Florence",-87.66286,34.820287,45140,47146,135065,131327,142950,147137
"128696","Gadsden",-86.010356,34.010147,96980,94144,103057,99840,103459,104430
"137000","Huntsville",-86.596296,34.712341,117348,228239,242971,293047,342376,417593
"150000","Mobile",-88.10328,30.679523,314301,317308,364980,378643,399843,412992
"151000","Montgomery",-86.279118,32.361538,169210,201325,272687,292517,346528,374536
"174592","Talladega",-86.101299,33.434728,65495,65280,73826,74107,80321,93830
"177256","Tuscaloosa",-87.534607,33.20654,109047,116029,137541,150522,192034,230162
"423620","Flagstaff",-111.630991,35.19916,18214,26117,34743,45857,116320,134421
"439370","Lake Havasu City",-114.309019,34.489969,0.1,0.1,55865,93497,155032,200186
"455000","Phoenix",-112.0763,33.52837,663510,967522,1509052,2122101,3251876,4192887
"457380","Prescott",-112.461482,34.56821,12861,13631,19865,27126,167517,211033
"466470","Show Low",-110.048173,34.243595,0.1,0.1,0.1,0.1,0.1,107449
"466820","Sierra Vista",-110.2765,31.545498,55039,61910,85686,97624,117755,131346
"477000","Tucson",-110.918192,32.214476,265660,351667,531443,666880,843746,980263
"485540","Yuma",-114.615389,32.692148,23974,29007,42481,106895,160026,195751
"523290","Fayetteville",-94.160912,36.076379,30350,58562,178609,210908,347045,463204
"524550","Fort Smith",-94.398737,35.368691,66685,160421,203511,219181,273170,280467
"533400","Hot Springs",-93.055393,34.497138,28337,35631,45944,41718,88068,96024
"535710","Jonesboro",-90.694048,35.828067,21418,27050,31530,47008,107762,121026
